origin,origin_climate_group,weather_intensity_bin,normal_route_days,high_workload_route_days,normal_arrivals,high_workload_arrivals,normal_arr15_rate,high_workload_arr15_rate,raw_gap_high_minus_normal,raw_gap_se,raw_gap_ci_low,raw_gap_ci_high
ABQ,Western dry / high-altitude,W1 mild,1758,758,5589,2698,0.14439076757917338,0.20570793180133431,0.061317164222160936,0.009092028678448537,0.0434967880124018,0.07913754043192006
ABQ,Western dry / high-altitude,W2 moderate,1603,835,4497,2629,0.16144096064042696,0.200076074553062,0.03863511391263505,0.009538397246011904,0.01993985531045172,0.05733037251481838
ABQ,Western dry / high-altitude,W3 severe,1611,612,4336,1790,0.1930350553505535,0.2346368715083799,0.04160181615782638,0.011672650343880415,0.018723421483820762,0.06448021083183199
ABQ,Western dry / high-altitude,W4 extreme,1229,340,3287,864,0.26041983571645877,0.2361111111111111,-0.024308724605347665,0.016350778095208404,-0.056356249671956134,0.007738800461260804
ATL,Humid subtropical / thunderstorm,W1 mild,3468,1286,38989,16012,0.20185180435507452,0.2852860354733949,0.0834342311183204,0.004106847937718149,0.07538480916039283,0.09148365307624798
ATL,Humid subtropical / thunderstorm,W2 moderate,3641,1480,39245,17652,0.23781373423366034,0.3052911851348289,0.06747745090116855,0.004078433358545388,0.05948372151841959,0.07547118028391751
ATL,Humid subtropical / thunderstorm,W3 severe,3681,1233,39692,14420,0.2660737680137055,0.3883495145631068,0.12227574654940127,0.004625191415546203,0.1132103713749307,0.13134112172387183
ATL,Humid subtropical / thunderstorm,W4 extreme,4902,1190,52188,14432,0.30903656012876524,0.3513719512195122,0.042335391090746965,0.004459100791815033,0.0335955535387895,0.05107522864270443
AUS,Humid subtropical / thunderstorm,W1 mild,3639,1443,18341,8453,0.18728531704923396,0.2621554477700225,0.07487013072078852,0.005584072335895033,0.06392534894243426,0.08581491249914278
AUS,Humid subtropical / thunderstorm,W2 moderate,3790,1391,18377,7921,0.20912009577188878,0.3038757732609519,0.0947556774890631,0.00597539998041435,0.08304389352745098,0.10646746145067523
AUS,Humid subtropical / thunderstorm,W3 severe,3243,1246,15761,7085,0.22961741006281328,0.33083980239943545,0.10122239233662217,0.0065169360535753396,0.08844919767161451,0.11399558700162983
AUS,Humid subtropical / thunderstorm,W4 extreme,3358,923,16273,5293,0.24961592822466663,0.3659550349518232,0.11633910672715655,0.007439613875156515,0.10175746353184978,0.13092074992246333
BHM,Humid subtropical / thunderstorm,W1 mild,1167,760,2775,1938,0.16684684684684684,0.1996904024767802,0.03284355562993335,0.011513329853744892,0.010277429116593365,0.05540968214327334
BHM,Humid subtropical / thunderstorm,W2 moderate,1240,745,3024,1926,0.20667989417989419,0.2481827622014538,0.041502868021559614,0.012292242215385456,0.01741007327940412,0.0655956627637151
BHM,Humid subtropical / thunderstorm,W3 severe,1170,574,2821,1548,0.23821339950372208,0.28229974160206717,0.04408634209834508,0.013971767206314028,0.01670167837396959,0.07147100582272058
BHM,Humid subtropical / thunderstorm,W4 extreme,1129,346,2983,1101,0.26952732148843445,0.3142597638510445,0.044732442362610036,0.01617816809091758,0.013023232904411583,0.07644165182080849
