weather_intensity_bin,workload_bin,route_days,flights,arr15_delayed,arr15_obs,cancelled_flights,flight_weighted_arr15_rate,flight_weighted_cancel_rate,weather_bin_order,workload_bin_order
W1 mild,P0-50,81618,516333,90910.0,511059,4219.0,0.17788552789403964,0.008171083389982821,1,1
W1 mild,P50-75,44548,308076,64013.0,304650,2602.0,0.21011980961759397,0.008445967878056064,1,2
W1 mild,P75-90,28854,208071,50341.0,205271,2154.0,0.2452416561521111,0.010352235534985654,1,3
W1 mild,P90-100,19166,138319,36007.0,135960,1904.0,0.2648352456604884,0.01376528170388739,1,4
W2 moderate,P0-50,84649,535636,106615.0,528421,5799.0,0.2017614742790313,0.010826382095303526,2,1
W2 moderate,P50-75,43242,298951,68787.0,295017,3040.0,0.23316283468410295,0.010168890553970383,2,2
W2 moderate,P75-90,27857,198854,51920.0,195387,2786.0,0.2657290403148623,0.014010278898086034,2,3
W2 moderate,P90-100,18438,134166,37821.0,131186,2527.0,0.28830058085466437,0.0188348761981426,2,4
W3 severe,P0-50,87268,557717,122461.0,548175,7870.0,0.2233976376157249,0.01411109935684227,3,1
W3 severe,P50-75,44590,319459,81888.0,313493,4936.0,0.2612115741021331,0.015451122053221227,3,2
W3 severe,P75-90,25847,192076,53306.0,188039,3334.0,0.2834837453932429,0.017357712572106873,3,3
W3 severe,P90-100,16480,126981,38298.0,123513,2958.0,0.3100726239343227,0.023294823635032012,3,4
W4 extreme,P0-50,96293,629033,169911.0,607159,19794.0,0.2798459711541787,0.031467347500051666,4,1
W4 extreme,P50-75,42821,324044,98553.0,314415,8452.0,0.3134487858403702,0.026082877633901567,4,2
W4 extreme,P75-90,21501,174516,55652.0,168903,4950.0,0.3294908912215887,0.028364161452245067,4,3
W4 extreme,P90-100,13571,113669,38930.0,109646,3602.0,0.35505171187275414,0.03168849906306909,4,4
