context_dimension,context_stratum,weather_intensity_bin,normal_route_days,high_workload_route_days,normal_arrivals,high_workload_arrivals,normal_arr15_rate,high_workload_arr15_rate,raw_gap_high_minus_normal,raw_gap_se,raw_gap_ci_low,raw_gap_ci_high
Origin size,low,W3 severe,33357,11500,131457,51206,0.19236708581513345,0.2533101589657462,0.06094307315061276,0.0022080839507569437,0.05661522860712915,0.06527091769409638
Origin size,low,W2 moderate,31437,13649,121738,59152,0.17343803906750563,0.22570665404381932,0.05226861497631369,0.002032748034329029,0.048284428829028794,0.05625280112359858
Origin size,low,W1 mild,30065,13556,116569,58415,0.1551870565930908,0.212428314645211,0.057241258052120214,0.0019971790209944917,0.05332678717097101,0.06115572893326942
Origin size,high,W3 severe,51301,17218,457543,173852,0.24522722454501544,0.2953431654510733,0.050115940906057865,0.0012655500255225125,0.04763546285603374,0.05259641895608199
Origin size,high,W4 extreme,56129,15415,501916,163021,0.29710947648610525,0.3383797179504481,0.04127024146434283,0.0013376806885546156,0.03864838731477578,0.04389209561390987
Origin size,high,W2 moderate,47654,16988,423711,169285,0.22149295156368373,0.2869362317984464,0.06544328023476267,0.0012710610749927373,0.06295200052777691,0.06793455994174843
Origin size,high,W1 mild,45702,17720,407418,175575,0.1996131736938476,0.2636992738146091,0.06408610012076152,0.0012239323600420845,0.06168719269507903,0.066485007546444
Origin size,middle,W3 severe,45643,15166,261980,97182,0.24510267959386212,0.3080200037043897,0.06291732411052758,0.0017027940499404173,0.05957984777264436,0.0662548004484108
Origin size,middle,W4 extreme,46746,12557,271717,85948,0.3064070337888318,0.35879834318425097,0.052391309395419194,0.0018598125977350392,0.04874607670385852,0.05603654208697987
Origin size,middle,W2 moderate,47352,17106,268838,107287,0.21715308103765094,0.2784680343378042,0.06131495330015327,0.0015827537890691092,0.05821275587357781,0.06441715072672873
Origin size,middle,W1 mild,48753,18390,281250,117713,0.19028977777777778,0.25169692387416853,0.06140714609639075,0.0014655644400575908,0.05853463979387787,0.06427965239890363
Origin size,low,W4 extreme,35039,8300,139049,38472,0.24103014045408452,0.28982116864212937,0.048791028188044844,0.0025817830465816346,0.04373073341674484,0.05385132295934485
Route volume,low,W3 severe,34913,12477,58749,23855,0.21859095473965515,0.28161810941102494,0.0630271546713698,0.0033746452014079623,0.05641285007661019,0.0696414592661294
Route volume,low,W2 moderate,34877,14790,59230,28226,0.1971804828634138,0.2537731169843407,0.05659263412092688,0.0030629695863638113,0.050589213731653815,0.06259605451019995
Route volume,low,W1 mild,33465,14749,57518,28222,0.17912653430230538,0.2390688115654454,0.059942277263140026,0.003000379268591235,0.05406153389670121,0.06582302062957884
Route volume,high,W3 severe,47174,15691,563642,212008,0.2463265689923746,0.2985359043054979,0.05220933531312333,0.0011476635284945029,0.0499599147972741,0.054458755828972555
Route volume,middle,W4 extreme,50606,12796,231292,69604,0.2684355706206873,0.3207286937532326,0.052293123132545305,0.0019947596249367946,0.04838339426766919,0.05620285199742142
Route volume,high,W2 moderate,45005,16000,532601,214103,0.2201084864654779,0.281504696337744,0.0613962098722661,0.001125606962540221,0.05919002022568726,0.06360239951884493
Route volume,high,W1 mild,44666,16822,523799,222464,0.19527146863586986,0.2589767333141542,0.06370526467828436,0.0010782615834730924,0.061591871974677095,0.06581865738189162
Route volume,middle,W2 moderate,46561,16953,222456,93395,0.19973837522925883,0.2609026179131645,0.06116424268390566,0.00166830306172661,0.057894368682921506,0.06443411668488981
Route volume,middle,W3 severe,48214,15716,228589,86377,0.21882067816036643,0.2806418375261933,0.06182115936582688,0.001756421489464797,0.058378573246475884,0.06526374548517788
Route volume,low,W4 extreme,34101,9105,56427,17655,0.2604958619100785,0.3147550269045596,0.05425916499448108,0.003953547999729722,0.04651021091501083,0.06200811907395133
Route volume,middle,W1 mild,46389,18095,223920,101017,0.1801938192211504,0.23734618925527387,0.05715237003412346,0.0015657662209538224,0.05408346824105397,0.06022127182719295
Route volume,high,W4 extreme,53207,14371,624963,200182,0.30259231346495713,0.346035108051673,0.04344279458671585,0.0012116574076046192,0.04106794606781079,0.045817643105620906
Route carrier count,two carriers,W3 severe,42519,14903,338475,126400,0.23909594504764015,0.294121835443038,0.05502589039539785,0.0014764869111673678,0.05213197604950981,0.057919804741285885
Route carrier count,one carrier,W2 moderate,64330,23007,230076,85580,0.1992124341521932,0.2575017527459687,0.05828931859377551,0.0017109849820546238,0.05493578802894845,0.06164284915860257
Route carrier count,one carrier,W3 severe,65992,20409,237126,78943,0.21698590622706915,0.27878342601623957,0.06179751978917042,0.0018065024974471447,0.05825677489417402,0.06533826468416683
Route carrier count,one carrier,W1 mild,62453,23513,227474,89310,0.17699165618927878,0.23969320344866196,0.06270154725938318,0.001637345020337912,0.05949235101952087,0.06591074349924549
Route carrier count,one carrier,W4 extreme,68208,15709,246612,62184,0.26391659773247045,0.31228290235430334,0.04836630462183289,0.0020594640649663335,0.044329755054498876,0.0524028541891669
Route carrier count,three or more carriers,W2 moderate,20322,8493,253249,113640,0.2241074989437273,0.2826997536078846,0.05859225466415727,0.0015719485776354801,0.05551123545199173,0.06167327387632281
Route carrier count,two carriers,W2 moderate,41791,16243,330962,136504,0.2137798297085466,0.27572818378948605,0.06194835408093946,0.0014038601873901247,0.059196788113654815,0.0646999200482241
Route carrier count,three or more carriers,W3 severe,21790,8572,275379,116897,0.2517294347063502,0.29997348092765425,0.04824404622130407,0.00157491954782109,0.04515720390757474,0.051330888535033405
Route carrier count,two carriers,W1 mild,42567,17280,338642,145887,0.1911694355691261,0.25035129929328864,0.05918186372416254,0.0013202438147614309,0.05659418584723013,0.06176954160109494
Route carrier count,three or more carriers,W1 mild,19500,8873,239121,116506,0.20046754571953113,0.26098226700770777,0.06051472128817664,0.0015250394318754544,0.05752564400170075,0.06350379857465253
Route carrier count,three or more carriers,W4 extreme,24023,8401,307137,120226,0.3091324067110117,0.3525776454344318,0.0434452387234201,0.0016105906723920163,0.04028848100553175,0.04660199644130845
Route carrier count,two carriers,W4 extreme,45683,12162,358933,105031,0.2949408385408976,0.33650065218840153,0.04155981364750394,0.0016447164058203828,0.03833616949209599,0.04478345780291189
Route peak share,high,W3 severe,45559,13871,224607,74746,0.22521114658047167,0.28077756669253207,0.055566420112060394,0.0018650941820676885,0.051910835515207726,0.05922200470891306
Route peak share,low,W2 moderate,40901,16678,241799,105658,0.20907861488260912,0.2781710802778777,0.06909246539526856,0.0016075722030155235,0.06594162387735814,0.07224330691317898
Route peak share,middle,W3 severe,42343,14764,369853,145349,0.24739558689533409,0.2996718243675567,0.0522762374722226,0.0013954617360430056,0.04954113246957831,0.05501134247486689
Route peak share,high,W1 mild,42309,15506,207823,81768,0.183935368077643,0.23693865570883474,0.05300328763119175,0.0017127121092033386,0.04964637189715321,0.05636020336523029
Route peak share,low,W1 mild,40647,17437,240470,111087,0.188821890464507,0.25723081908774204,0.06840892862323503,0.0015352181443251105,0.06539990106035781,0.07141795618611224
Route peak share,low,W4 extreme,44115,12196,270202,86324,0.28718884390196964,0.328749826236041,0.04156098233407135,0.0018204291399935401,0.03799294121968401,0.04512902344845869
Route peak share,high,W2 moderate,43723,15351,213511,78719,0.20286542613729502,0.2607629670092354,0.05789754087194038,0.001790578510275073,0.054388006991801234,0.06140707475207952
Route peak share,low,W3 severe,42399,15249,256520,102145,0.23241072820832684,0.2908316608742474,0.05842093266592055,0.0016476108271099167,0.05519161544478511,0.06165024988705599
Route peak share,middle,W2 moderate,41819,15714,358977,151347,0.2213874426495291,0.27673492041467623,0.055347477765147146,0.001342631601743694,0.052715919825729506,0.05797903570456479
Route peak share,middle,W1 mild,41564,16723,356944,158848,0.19415650634273163,0.25424934528605964,0.06009283894332801,0.0012774846016859757,0.0575889691240235,0.06259670876263253
Route peak share,middle,W4 extreme,45631,12545,400574,133472,0.30113287432534314,0.3487922560537042,0.04765938172836104,0.0014923563803610235,0.04473436322285343,0.05058440023386865
Route peak share,high,W4 extreme,48168,11531,241906,67645,0.2797367572528172,0.3284499963042353,0.04871323905141811,0.0020232672879814764,0.044747635166974414,0.05267884293586181
Origin peak share,low,W3 severe,42133,17464,299328,140357,0.24819261813128074,0.2962232022628013,0.04803058413152056,0.0014521338991128918,0.045184401689259295,0.050876766573781824
Origin peak share,low,W2 moderate,39215,18761,273399,145674,0.2223855976064287,0.28044812389307633,0.058062526286647625,0.0014204871842861107,0.05527837140544685,0.0608466811678484
Origin peak share,low,W1 mild,36888,19493,262128,147985,0.19773927241652933,0.26997330810555126,0.07223403568902192,0.0013917626883279627,0.06950618081989912,0.07496189055814473
Origin peak share,low,W4 extreme,43874,13901,323259,120022,0.29753541278046397,0.32791488227158355,0.03037946949111958,0.0015756854745486418,0.027291125961004244,0.03346781302123492
Origin peak share,middle,W3 severe,44760,14314,310326,105633,0.2282116226162165,0.2917080836481024,0.06349646103188591,0.0015885632372884258,0.0603828770868006,0.06661004497697123
Origin peak share,middle,W4 extreme,45001,11769,315869,92968,0.2838233571512241,0.3480122192582394,0.0641888621070153,0.0017561721217290143,0.060746764748426434,0.06763095946560417
Origin peak share,middle,W1 mild,42757,15531,289624,110488,0.18805416678175843,0.24104880167982043,0.052994634898062,0.0014774925425960204,0.0500987495145738,0.0558905202815502
Origin peak share,middle,W2 moderate,43009,15531,294631,106969,0.2053280204730663,0.2733502229617927,0.06802220248872637,0.001552642268379048,0.06497902364270343,0.07106538133474931
Origin peak share,high,W3 severe,43408,12106,241326,76250,0.2345002196199332,0.2866885245901639,0.05218830497023072,0.001850889465488652,0.04856056161787296,0.05581604832258848
Origin peak share,high,W4 extreme,49039,10602,273554,74451,0.2926771313890493,0.341701253173228,0.0490241217841787,0.001943734915538741,0.045214401349722766,0.05283384221863463
Origin peak share,high,W2 moderate,44219,13451,246257,83081,0.2113483068501606,0.2612751411273336,0.04992683427717298,0.0017320549925730257,0.04653200649172985,0.05332166206261611
Origin peak share,high,W1 mild,44875,14642,253485,93230,0.18398327317198257,0.23330473023704815,0.04932145706506558,0.0015845834699468925,0.04621567346396967,0.05242724066616149
Origin carrier breadth,low,W3 severe,44816,14010,262975,91195,0.22057610038977088,0.2636657711497341,0.04308967075996323,0.0016681340083048832,0.039820128103685654,0.0463592134162408
Origin carrier breadth,low,W2 moderate,44093,14929,255547,90242,0.20357116303458855,0.25061501296513816,0.04704384993054961,0.0016479055346069083,0.04381395508272007,0.05027374477837915
Origin carrier breadth,low,W1 mild,42616,15329,250288,94775,0.17958511794412838,0.23356370350830916,0.05397858556418078,0.0015739969034682425,0.05089355163338303,0.05706361949497853
Origin carrier breadth,high,W3 severe,41856,15775,300518,129131,0.24716655907466442,0.31557100928514453,0.06840445021048011,0.0015138668512441607,0.06543727118204155,0.07137162923891867
Origin carrier breadth,high,W4 extreme,43972,13389,310617,116630,0.30035381192916033,0.3467546943325045,0.04640088240334417,0.0016182410276132937,0.04322912998922211,0.049572634817466224
Origin carrier breadth,high,W2 moderate,40791,18040,286311,140662,0.21529735148143103,0.2932064096913168,0.07790905820988575,0.0014364423219362906,0.07509363125889063,0.08072448516088088
Origin carrier breadth,high,W1 mild,40279,18905,284086,145898,0.1923396436290419,0.26888648233697515,0.07654683870793325,0.0013763170908533875,0.0738492572098606,0.07924442020600589
Origin carrier breadth,middle,W3 severe,43629,14099,287487,101914,0.24146483145324832,0.2890280040033754,0.0475631725501271,0.001628932609035265,0.04437046463641798,0.050755880463836216
Origin carrier breadth,middle,W4 extreme,50248,12316,337590,94946,0.2934684084244202,0.3409832957681208,0.04751488734370063,0.0017265408883451233,0.04413086720254419,0.05089890748485707
Origin carrier breadth,middle,W2 moderate,41559,14774,272429,104820,0.21905891076207012,0.26657126502575845,0.04751235426368833,0.0015789738498763763,0.04441756551793063,0.05060714300944603
Origin carrier breadth,middle,W1 mild,41625,15432,270863,111030,0.19694827274304721,0.24290732234531207,0.04595904960226485,0.001496746290292015,0.0430254268732925,0.0488926723312372
Origin carrier breadth,low,W4 extreme,43694,10567,264475,75865,0.2780149352490784,0.32075397086930735,0.04273903562022896,0.001905458104077008,0.03900433773623802,0.0464737335042199
Origin destination breadth,low,W3 severe,45401,13029,208510,63646,0.20987482614742697,0.2582723187631587,0.04839749261573173,0.001950689944172777,0.04457414032515308,0.052220844906310376
Origin destination breadth,low,W2 moderate,44610,15333,204524,72595,0.1861395239678473,0.23246780081272814,0.046328276844880834,0.0017884457412617215,0.04282292319200786,0.04983363049775381
Origin destination breadth,low,W1 mild,42644,14825,194548,69324,0.16392355614038695,0.21030234839305292,0.046378792252665973,0.0017607117254826877,0.04292779727071991,0.04982978723461204
Origin destination breadth,high,W3 severe,40819,14694,341685,135292,0.25175234499612215,0.3190136889099134,0.06726134391379124,0.0014686890921190225,0.06438271329323796,0.07013997453434452
Origin destination breadth,high,W4 extreme,43453,11743,365612,111005,0.3071507499753837,0.35910995000225215,0.051959200026868435,0.0016295376140211123,0.04876530630338705,0.05515309375034982
Origin destination breadth,high,W2 moderate,40342,16168,334021,145877,0.22370449762140704,0.29913557311982014,0.0754310754984131,0.0013989651003556865,0.07268910390171596,0.07817304709511025
Origin destination breadth,high,W1 mild,39786,17855,331240,160059,0.19894638328704262,0.27650428904341523,0.07755790575637261,0.0013156637644716042,0.07497920477800826,0.08013660673473696
Origin destination breadth,middle,W3 severe,44081,16161,300785,123302,0.23911099290190668,0.2810416700459036,0.0419306771439969,0.0014978624820537758,0.0389948666791715,0.044866487608822295
