origin,destination,route,origin_climate_group,route_days,flights,arr15_delayed,arr15_obs,cancelled_flights,joint_pressure_share,flight_weighted_arr15_rate,flight_weighted_cancel_rate
LGA,ORD,LGA-ORD,Northeast dense metro,731,22516,5481.0,21903,557.0,0.20656634746922026,0.25023969319271333,0.024737964114407533
ORD,LGA,ORD-LGA,Cold/snowbelt,731,22511,5823.0,21871,524.0,0.16963064295485636,0.2662429701431119,0.023277508773488515
LAX,SFO,LAX-SFO,Pacific low-cloud,731,22366,6605.0,22177,150.0,0.25444596443228457,0.2978310862605402,0.006706608244657069
SFO,LAX,SFO-LAX,Pacific low-cloud,731,22345,5038.0,22173,163.0,0.253077975376197,0.22721327740946196,0.0072946968001790105
JFK,LAX,JFK-LAX,Northeast dense metro,731,20183,3776.0,20016,132.0,0.2216142270861833,0.18864908073541167,0.006540157558341178
LAX,JFK,LAX-JFK,Pacific low-cloud,731,20180,3633.0,19929,144.0,0.22571819425444598,0.18229715489989462,0.00713577799801784
BOS,DCA,BOS-DCA,Cold/snowbelt,731,18789,4080.0,18293,441.0,0.16415868673050615,0.2230361340403433,0.023471179945712916
DCA,BOS,DCA-BOS,Northeast dense metro,731,18789,4271.0,18316,458.0,0.16963064295485636,0.2331841013321686,0.024375964660173506
PHX,DEN,PHX-DEN,Western dry / high-altitude,731,18569,3912.0,18339,191.0,0.11764705882352941,0.21331588418125308,0.010285960471753999
DEN,PHX,DEN-PHX,Western dry / high-altitude,731,18460,4467.0,18259,183.0,0.11354309165526676,0.24464647571060846,0.00991332611050921
LAX,LAS,LAX-LAS,Pacific low-cloud,731,18344,4288.0,18203,136.0,0.21477428180574556,0.23556556611547547,0.007413868294810292
LAS,LAX,LAS-LAX,Western dry / high-altitude,731,18322,3949.0,18204,113.0,0.2243502051983584,0.21693034497912547,0.0061674489684532255
MCO,ATL,MCO-ATL,Tropical / Florida,731,17107,4407.0,16857,227.0,0.1545827633378933,0.2614344189357537,0.013269421874086631
ATL,MCO,ATL-MCO,Humid subtropical / thunderstorm,731,17078,4959.0,16793,237.0,0.17647058823529413,0.2953016137676413,0.013877503220517624
DEN,SLC,DEN-SLC,Western dry / high-altitude,731,15860,3723.0,15750,98.0,0.12995896032831739,0.23638095238095239,0.00617906683480454
ATL,LGA,ATL-LGA,Humid subtropical / thunderstorm,731,15857,3722.0,15508,274.0,0.16963064295485636,0.240005158627805,0.017279434949864413
LGA,ATL,LGA-ATL,Northeast dense metro,731,15851,3380.0,15530,288.0,0.18331053351573187,0.21764327108821635,0.018169200681345025
SLC,DEN,SLC-DEN,Western dry / high-altitude,731,15845,3656.0,15710,98.0,0.15047879616963064,0.23271801400381922,0.0061849163774061215
