origin,destination,route,origin_climate_group,route_days,flights,positive_excess_arr15,burden_share
ORD,LGA,ORD-LGA,Cold/snowbelt,124,4076,775.8698294663535,0.005143332253434771
ATL,MCO,ATL-MCO,Humid subtropical / thunderstorm,129,3209,621.1846277261167,0.0041179058777412614
ORD,BOS,ORD-BOS,Cold/snowbelt,130,2871,536.2997954847863,0.0035551943520275684
LAS,SFO,LAS-SFO,Western dry / high-altitude,174,3100,510.00049888867954,0.0033808532250907994
LAS,SAN,LAS-SAN,Western dry / high-altitude,122,2646,503.2198899534272,0.0033359037718318696
SFO,SAN,SFO-SAN,Pacific low-cloud,186,3874,495.00102578729957,0.0032814199556725036
LAX,SFO,LAX-SFO,Pacific low-cloud,186,6029,485.69513145025394,0.003219730088799212
SAN,SFO,SAN-SFO,Pacific low-cloud,183,3703,483.2712330151269,0.0032036617812984374
ORD,EWR,ORD-EWR,Cold/snowbelt,123,2021,450.1826452808211,0.0029843136457593667
MCO,ATL,MCO-ATL,Tropical / Florida,113,2820,445.6759284020151,0.002954438090093277
ATL,TPA,ATL-TPA,Humid subtropical / thunderstorm,133,2578,444.4439845174559,0.0029462713893462803
DCA,BOS,DCA-BOS,Northeast dense metro,124,3503,428.60579045180026,0.002841278140117766
DFW,LAX,DFW-LAX,Humid subtropical / thunderstorm,161,3160,425.7913567229205,0.002822620928272245
ATL,FLL,ATL-FLL,Humid subtropical / thunderstorm,132,2708,423.4717358117381,0.0028072438887288566
DFW,MCO,DFW-MCO,Humid subtropical / thunderstorm,130,1808,422.111772571781,0.0027982285326344355
ATL,MIA,ATL-MIA,Humid subtropical / thunderstorm,134,2433,411.2727847386917,0.0027263756088587304
LAS,LAX,LAS-LAX,Western dry / high-altitude,164,4528,406.90604873301754,0.002697428002846435
SAN,LAS,SAN-LAS,Pacific low-cloud,116,2505,404.5941490145431,0.00268210214799664
ORD,DFW,ORD-DFW,Cold/snowbelt,110,2200,401.5082742153597,0.0026616455214055297
ATL,DFW,ATL-DFW,Humid subtropical / thunderstorm,119,2283,400.8131382645258,0.002657037383518656
LAX,LAS,LAX-LAS,Pacific low-cloud,157,4256,399.818563125713,0.0026504442280747354
ATL,EWR,ATL-EWR,Humid subtropical / thunderstorm,129,2291,397.21018883201174,0.002633153008434127
DFW,ORD,DFW-ORD,Humid subtropical / thunderstorm,108,2186,389.5192093607966,0.0025821686019364375
