origin,selected_route_days,selected_flights,observed_positive_excess,mean_observed_positive_excess,collapse_window_share,mean_arr15_rate,mean_workload_percentile,mean_weather_score,selected_excess_share
ORD,1897,30424,4794.810498730535,2.527575381513197,0.5071164997364259,0.37677185767706917,0.8762654980468116,18.467264101212443,0.23458320659096246
DEN,1239,18191,2876.575132451702,2.3216909866438273,0.5351089588377724,0.3779921982997361,0.9088178432587067,13.284971751412431,0.1407347003075514
DFW,807,10076,2263.028489984006,2.8042484386418907,0.6889714993804213,0.4653555571683427,0.8866620219454602,13.616505576208178,0.11071730153416982
ATL,447,6792,1199.6203574230196,2.6837144461365092,0.6219239373601789,0.3929352726288551,0.8192953785228778,13.7434451901566,0.05869070116756319
IAH,511,5310,876.5091538063746,1.7152821013823376,0.4598825831702544,0.3832683833504025,0.9161832302210468,17.378277886497063,0.04288268075676161
SAN,390,6169,857.1645412468717,2.197857798068902,0.49230769230769234,0.373721127651331,0.9082745799572065,23.801794871794872,0.041936257275443756
SFO,406,7793,665.5317730112417,1.6392408202247333,0.3669950738916256,0.31192514371311586,0.8732049355427817,28.931477832512314,0.032560739875429984
BNA,341,3520,640.0902876648845,1.8770976177855851,0.49266862170087977,0.4047183424361275,0.9287943643664928,18.314310850439885,0.03131603057679022
MCO,285,3896,615.8894615027633,2.1610156543956607,0.4842105263157895,0.36596362605410715,0.8938392492860057,19.706315789473685,0.030132019779123886
DCA,241,4050,603.3772646879809,2.5036401024397548,0.5145228215767634,0.3625061155348143,0.8328499015161406,17.79344398340249,0.02951986810992111
SEA,281,4692,578.5403636318166,2.0588625040278172,0.46619217081850534,0.3497067870106598,0.9170516671453817,15.596370106761565,0.028304737732384806
LAX,288,6218,528.2309527327378,1.8341352525442285,0.3819444444444444,0.298098148515171,0.8642009613923088,23.535138888888888,0.025843380201459897
BOS,234,3563,464.80692489069065,1.9863543798747463,0.5299145299145299,0.36299157820866174,0.8719965624890386,21.279316239316238,0.022740397960547346
FLL,185,2133,430.93434029606505,2.3293748124111624,0.5621621621621622,0.4330738619877804,0.955762191740304,20.336864864864864,0.02108320222531763
AUS,250,2478,393.2026188062087,1.5728104752248349,0.432,0.3811561774826481,0.9089876880984953,21.12992,0.019237200549207373
PHL,214,2632,381.67535485385673,1.7835296955787698,0.514018691588785,0.3667378429666485,0.8366403722975824,17.853271028037383,0.0186732361251954
PHX,155,2710,284.1607631346639,1.8332952460300898,0.36129032258064514,0.3294593009369684,0.8845240721945192,20.886064516129032,0.013902393644360505
BWI,164,1821,242.45237674254076,1.478368150869151,0.4329268292682927,0.35656193138164743,0.884759434119649,16.361097560975608,0.011861836040636745
SLC,141,2038,221.2887276947468,1.569423600671963,0.40425531914893614,0.315445085302394,0.8738199881634989,12.306241134751774,0.010826417298204336
MIA,125,1568,200.23620227310778,1.6018896181848623,0.424,0.33564840123756534,0.9057948016415869,17.75568,0.009796435212039855
