route,selected_route_days,selected_flights,observed_positive_excess,mean_observed_positive_excess,collapse_window_share,mean_arr15_rate,mean_workload_percentile,mean_weather_score,selected_excess_share
ORD-LGA,88,2691,562.4321343727178,6.391274254235429,0.6818181818181818,0.4413453676184473,0.878248974008208,18.523863636363636,0.02751665234859284
ORD-BOS,93,1994,401.47678485249827,4.316954675833315,0.6666666666666666,0.42968714844113776,0.879308062309695,19.926881720430107,0.01964200912371069
ORD-EWR,88,1384,301.39077410191146,3.424895160248994,0.625,0.44606502497721184,0.8785210172864072,19.088636363636365,0.01474536152043496
ORD-DFW,75,1406,265.9487091300507,3.545982788400676,0.6533333333333333,0.42401197900975796,0.8776652986776106,16.26,0.01301137990604049
ORD-DCA,89,1621,254.40660754905252,2.8585012084163206,0.6179775280898876,0.3953480408827923,0.8782182326811049,16.688314606741574,0.012446689560012002
ORD-MSP,83,1468,247.1509762185414,2.9777226050426675,0.6024096385542169,0.40084408842801544,0.8851548464720717,18.743373493975906,0.012091712181072045
ORD-MCO,95,1605,234.1489685868309,2.464725985124536,0.4631578947368421,0.3412745805694315,0.8877600979192166,14.50021052631579,0.011455596813598328
SFO-SAN,81,1691,228.8364575268648,2.825141450948948,0.5925925925925926,0.393936156945734,0.8658441843576363,27.950617283950617,0.011195685419847366
ORD-SEA,105,1728,216.8748313139036,2.065474583941939,0.49523809523809526,0.3532840525487584,0.8773369813041496,19.926476190476194,0.010610470084679925
DCA-BOS,44,1146,210.00684927613176,4.772882938093904,0.6818181818181818,0.41491746361226395,0.826016664593956,21.511363636363637,0.010274458213166712
SAN-SFO,63,1321,209.4127242415875,3.3240114958982145,0.6507936507936508,0.4286072732493131,0.9201029248908865,29.29873015873016,0.010245391004826309
ORD-DEN,77,1368,201.98672487472388,2.623204219152258,0.5194805194805194,0.36265587942943095,0.8787108923907829,15.4987012987013,0.009882078472645413
ORD-BNA,69,952,201.95645578840606,2.926905156353711,0.6086956521739131,0.45237499073816206,0.8847221396141874,17.343478260869567,0.009880597575886118
DEN-ORD,48,873,193.91781454463774,4.0399544696799525,0.75,0.4604582526892898,0.8956480848153214,14.360416666666666,0.009487311910040345
ORD-PHL,88,1152,181.22286026895856,2.059350684874529,0.5113636363636364,0.3863227060001792,0.8801455042905111,17.565454545454546,0.008866218942486586
DEN-PHX,42,996,180.45069692040403,4.296445164771525,0.6904761904761905,0.39756679969187436,0.9091101556901832,8.097619047619048,0.008828441317205275
ORD-ATL,91,1607,179.93605013636468,1.9773192322677438,0.45054945054945056,0.33070618208873914,0.8798048736489229,20.174725274725276,0.008803262534249486
ORD-IAH,77,1276,179.00407079821127,2.324728192184562,0.4935064935064935,0.3476070412215923,0.8694902908309201,16.404415584415585,0.008757666008239035
ORD-SFO,112,1763,173.4309067657041,1.5484902389795008,0.35714285714285715,0.32970563252138047,0.8766855579441079,27.054464285714285,0.008485002325294925
DEN-LAS,39,766,172.21485807224488,4.415765591596022,0.8461538461538461,0.444877166077866,0.9073275106106843,6.697435897435897,0.008425507877712912
DEN-SEA,62,1218,171.74387459963907,2.7700624935425657,0.5483870967741935,0.34214735956344144,0.8940801376814791,12.52290322580645,0.008402465295887316
ORD-DTW,58,905,160.0628498163875,2.759704307179095,0.5517241379310345,0.4201807337503131,0.8842162366149346,22.975172413793103,0.007830978216126994
ORD-LAX,87,1792,159.5833192648091,1.8342910260322884,0.3448275862068966,0.30329007685766607,0.8771797411827602,23.54367816091954,0.007807517473626871
DEN-SAN,63,1031,151.57787318098056,2.4059979869996915,0.5555555555555556,0.37398715296584967,0.8933294247931731,12.16095238095238,0.007415855860924397
DFW-MCO,42,557,147.20203176878158,3.5048102802090852,0.7857142857142857,0.4945871588728731,0.8600254055110416,12.233809523809525,0.007201770463747817
DEN-SFO,53,836,145.20695847564096,2.7397539335026595,0.5660377358490566,0.4258568521748322,0.9067186330433885,24.36603773584906,0.007104162708318727
DEN-SLC,46,1024,143.7186822160723,3.1243191786102673,0.5869565217391305,0.35274330890811834,0.9004639267233688,8.72391304347826,0.007031349691546687
DFW-ORD,28,566,138.5737772253087,4.949063472332454,0.8928571428571429,0.4757443487761931,0.8805208129763533,12.082142857142857,0.00677963832346265
DEN-MSP,58,1054,129.94268313868824,2.240391088598073,0.46551724137931033,0.33331968554558494,0.8912330770319354,14.179310344827586,0.00635736726024466
DFW-LAX,41,763,129.1121700511631,3.1490773183210514,0.7804878048780488,0.41213324439745946,0.8732441359981314,15.429268292682927,0.00631673490923955
