origin_climate_group,pressure_cell,route_days,flights,arr15_delayed,arr15_obs,cancelled_flights,arr_delay_sum,arr_delay_obs,flight_weighted_arr15_rate,flight_weighted_cancel_rate,mean_arr_delay,pressure_order
Cold/snowbelt,low_pressure,22367,168754,23825.0,167722,876.0,-336479.0,167722,0.14205053600600995,0.005190988065468078,-2.0061709256984774,1
Cold/snowbelt,workload_only,9844,79855,15289.0,79258,505.0,368705.0,79258,0.19290166292361655,0.006323962181453886,4.651959423654395,2
Cold/snowbelt,weather_only,67268,470149,109802.0,461720,7042.0,4050666.0,461720,0.23781079442086112,0.014978230305711594,8.772992289699385,3
Cold/snowbelt,joint_weather_workload,22259,172994,49545.0,168488,3844.0,2754446.0,168488,0.2940565500213665,0.0222204238297282,16.348024785147903,4
Humid subtropical / thunderstorm,low_pressure,60818,386001,59715.0,383878,1815.0,546622.0,383878,0.15555723432965682,0.004702060357356587,1.4239471915556505,1
Humid subtropical / thunderstorm,workload_only,24000,168993,35630.0,167795,967.0,1227323.0,167795,0.2123424416698948,0.005722130502446847,7.314419380792038,2
Humid subtropical / thunderstorm,weather_only,143227,867299,213275.0,848313,16489.0,10178891.0,848313,0.2514107410825957,0.019011897857601587,11.99898032919453,3
Humid subtropical / thunderstorm,joint_weather_workload,49315,327609,101910.0,318428,7979.0,6317839.0,318428,0.3200409511726356,0.02435525275557143,19.84071438441343,4
Northeast dense metro,low_pressure,31550,207917,30785.0,206437,1284.0,-461442.0,206437,0.14912539903215025,0.006175541201537152,-2.235267902556228,1
Northeast dense metro,workload_only,12640,91631,15949.0,90854,664.0,141688.0,90854,0.17554538050058335,0.007246455893747749,1.5595130649173399,2
Northeast dense metro,weather_only,80716,529594,132046.0,514745,13180.0,5737446.0,514745,0.25652701823232865,0.024886988900931658,11.146190832353884,3
Northeast dense metro,joint_weather_workload,28656,209838,56140.0,203923,5209.0,2829827.0,203923,0.27529999068275773,0.024823911779563283,13.87693884456388,4
Pacific low-cloud,low_pressure,20419,138995,19105.0,138157,713.0,-105746.0,138157,0.13828470508189958,0.005129680923774236,-0.7654045759534442,1
Pacific low-cloud,workload_only,9209,69927,14197.0,69470,367.0,362777.0,69470,0.20436159493306463,0.005248330401704635,5.2220670793148125,2
Pacific low-cloud,weather_only,101493,726723,136869.0,717770,7199.0,2946749.0,717770,0.19068643158671997,0.00990611278299985,4.1054223497777835,3
Pacific low-cloud,joint_weather_workload,34938,288888,69857.0,284782,3169.0,2676286.0,284782,0.24529991361813597,0.010969649137381961,9.397665582796666,4
Tropical / Florida,low_pressure,20240,130754,22017.0,129718,851.0,310849.0,129718,0.16972972139564285,0.006508405096593603,2.39634437780416,1
Tropical / Florida,workload_only,8488,62183,12829.0,61804,309.0,394947.0,61804,0.2075755614523332,0.004969203801682131,6.390314542748042,2
Tropical / Florida,weather_only,52657,336049,87153.0,327706,7111.0,4469170.0,327706,0.265948746742507,0.021160604554692916,13.637742366633507,3
Tropical / Florida,joint_weather_workload,17099,126479,39427.0,123728,2344.0,2361889.0,123728,0.31865867063235487,0.018532720846939018,19.08936538212854,4
Western dry / high-altitude,low_pressure,42815,315456,47005.0,313818,1321.0,72508.0,313818,0.14978426986342402,0.004187588760397647,0.23105111880134346,1
Western dry / high-altitude,workload_only,17091,136668,27830.0,135751,742.0,819942.0,135751,0.20500769791751072,0.0054292153247285395,6.04004390391231,2
Western dry / high-altitude,weather_only,73817,519609,114729.0,512932,5172.0,3724807.0,512932,0.2236729235064297,0.009953638216428123,7.261794935780961,3
Western dry / high-altitude,joint_weather_workload,25298,200670,54660.0,197759,2189.0,2566012.0,197759,0.2763970287066581,0.01090845667015498,12.975449916312279,4
